X,Y,Z,Roll,Pitch,Yaw,theta1,theta2,theta3,theta4,theta5,theta6
0.55,-0.25,0.10000000000000002,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5529805391327901,-0.24333623515705327,0.10000000000000002,90.0,0.0,0.6923076923076752,0.012083048667652821,0.0,0.0,0.0,0.0,0.0
0.5919056599793393,0.12102764016712333,0.10000000000000002,90.0,0.0,36.0,0.6283185307179586,0.0,0.0,0.0,0.0,0.0
0.4077234759800095,0.4458268353685976,0.10000000000000002,90.0,-1.2722218725854067e-14,72.0,1.2566370614359172,0.0,0.0,0.0,0.0,0.0
0.3912983278139724,0.46031035036156753,0.10000000000000002,90.0,0.0,74.07692307692305,1.2928862074388758,0.0,0.0,0.0,0.0,0.0
0.2827520621380866,0.5339019304672531,0.10000000000000002,90.0,0.0,86.53846153846155,1.5103810834566316,0.0,0.0,0.0,0.0,0.0
0.25662726527075264,0.5469391618083812,0.10000000000000002,89.99999999999999,0.0,89.30769230769226,1.5587132781272428,0.0,0.0,0.0,0.0,0.0
0.22990310353446497,0.5586989913944906,0.10000000000000002,90.0,1.2722218725854067e-14,92.07692307692304,1.6070454727978551,0.0,0.0,0.0,0.0,0.0
0.1888299327037799,0.5738843581376704,0.10000000000000002,90.0,0.0,96.23076923076923,1.6795437648037739,0.0,0.0,0.0,0.0,0.0
0.14676470593913798,0.5860547082744053,0.10000000000000002,90.0,1.2722218725854067e-14,100.38461538461536,1.752042056809692,0.0,0.0,0.0,0.0,0.0
0.05327863409374545,0.6017984605738907,0.10000000000000002,90.0,0.0,109.38461538461536,1.9091216894891816,0.0,0.0,0.0,0.0,0.0
-0.07783515047799223,0.5991174253433698,0.10000000000000002,90.0,0.0,121.84615384615381,2.1266165655069362,0.0,0.0,0.0,0.0,0.0
-0.21895158709703222,0.5630809910729456,0.10000000000000002,90.0,0.0,135.6923076923077,2.368277538859998,0.0,0.0,0.0,0.0,0.0
-0.35329074890467194,0.4900873868386902,0.10000000000000002,90.0,0.0,150.23076923076923,2.622021560880712,0.0,0.0,0.0,0.0,0.0
-0.4256077117163441,0.4287867485447484,0.10000000000000002,90.0,1.2722218725854067e-14,159.23076923076923,2.7791011935602015,0.0,0.0,0.0,0.0,0.0
-0.45554878641036894,0.39683158039657085,0.10000000000000002,90.00000000000003,0.0,163.38461538461536,2.8515994855661195,0.0,0.0,0.0,0.0,0.0
